,Date,Open,High,Low,Close,Adj Close,Volume
857,20210723,1430.0,1434.849976,1386.199951,1401.650024,1401.054443,4694140
858,20210726,1399.800049,1416.800049,1392.0,1403.900024,1403.303467,2054318
859,20210727,1403.900024,1424.599976,1378.150024,1396.75,1396.156494,2978042
860,20210728,1406.849976,1424.800049,1378.599976,1399.900024,1399.305176,3188606
861,20210729,1413.949951,1425.0,1397.0,1400.25,1399.655029,2538248
862,20210730,1409.5,1449.5,1400.25,1420.25,1419.646484,4403219
863,20210802,1435.0,1445.0,1424.099976,1438.199951,1437.588867,2483790
864,20210803,1467.0,1467.0,1422.199951,1442.800049,1442.187012,4442122
865,20210804,1460.0,1460.0,1423.050049,1429.550049,1428.942627,3341801
866,20210805,1428.0,1438.0,1407.400024,1432.349976,1431.741333,2104359
867,20210806,1422.0,1555.0,1422.0,1536.650024,1535.99707,14250256
868,20210809,1546.699951,1565.0,1482.5,1493.400024,1492.765503,6031426
869,20210810,1488.0,1498.650024,1426.050049,1446.5,1445.885376,3581449
870,20210811,1455.0,1456.599976,1407.0,1437.050049,1436.439453,3197412
871,20210812,1443.599976,1458.0,1430.25,1442.900024,1442.286865,2455443
872,20210813,1445.0,1454.0,1428.0,1437.0,1436.389404,2095991
873,20210816,1431.5,1449.699951,1413.550049,1430.099976,1429.49231,1909352
874,20210817,1431.0,1451.0,1416.199951,1441.650024,1441.037476,3062815
875,20210818,1441.900024,1496.800049,1432.599976,1460.0,1459.379639,4738820
876,20210820,1438.0,1482.650024,1411.0,1430.099976,1429.49231,4933377
877,20210823,1415.050049,1427.75,1361.550049,1396.699951,1396.106445,4866080
878,20210824,1407.0,1448.400024,1390.0,1437.800049,1437.189087,3362312
879,20210825,1444.25,1481.800049,1425.0,1475.349976,1474.723022,5361140
880,20210826,1482.0,1494.650024,1460.400024,1475.699951,1475.072876,4678919
881,20210827,1475.0,1515.0,1474.099976,1506.050049,1505.410156,5164477
882,20210830,1513.75,1527.0,1493.300049,1516.550049,1515.90564,3149863
883,20210831,1517.300049,1596.849976,1512.800049,1587.599976,1586.925415,7234384
884,20210901,1594.900024,1600.849976,1561.5,1565.199951,1564.534912,3056760
885,20210902,1571.0,1594.300049,1565.5,1570.550049,1569.88269,2171898
886,20210903,1578.5,1581.400024,1551.550049,1565.550049,1564.884766,1687999
887,20210906,1572.0,1628.449951,1566.050049,1582.0,1581.327759,5562312
888,20210907,1585.099976,1592.349976,1553.0,1558.099976,1557.437866,1651169
889,20210908,1559.900024,1579.0,1538.25,1555.949951,1555.288818,2084219
890,20210909,1561.599976,1565.5,1535.050049,1545.0,1544.343506,1243149
891,20210913,1548.0,1557.0,1525.25,1532.449951,1531.798828,1759456
892,20210914,1539.900024,1547.25,1497.050049,1513.199951,1512.557007,7143757
893,20210915,1524.0,1545.599976,1496.900024,1516.800049,1516.155518,12834337
894,20210916,1523.0,1535.0,1499.75,1503.199951,1502.561157,7616906
895,20210917,1503.199951,1525.0,1465.75,1480.25,1479.620972,3329954
896,20210920,1464.900024,1488.5,1409.949951,1418.849976,1418.24707,2273312
897,20210921,1420.0,1446.949951,1381.349976,1441.449951,1440.837402,2682157
898,20210922,1435.0,1462.650024,1424.349976,1437.75,1437.139038,1663858
899,20210923,1453.0,1480.0,1441.099976,1474.349976,1473.723511,1622616
900,20210924,1483.0,1516.0,1455.0,1461.699951,1461.078857,2760295
901,20210927,1462.0,1544.0,1462.0,1531.25,1530.599365,4737676
902,20210928,1557.0,1557.900024,1475.0,1487.300049,1486.668091,3547971
903,20210929,1466.300049,1498.0,1464.300049,1485.650024,1485.018799,1764350
904,20210930,1484.699951,1519.0,1463.349976,1468.099976,1467.476196,2072145
